x	F(x)
0.0000	1.000000
0.1000	0.805004
0.2000	0.620061
0.3000	0.445298
0.4000	0.280902
0.5000	0.127105
0.6000	-0.015831
0.7000	-0.147632
0.8000	-0.268027
0.9000	-0.376757
1.0000	-0.473592
1.1000	-0.558336
1.2000	-0.630845
1.3000	-0.691026
1.4000	-0.738853
1.5000	-0.774365
1.6000	-0.797677
1.7000	-0.808981
1.8000	-0.808549
1.9000	-0.796731
2.0000	-0.773962
2.1000	-0.740753
2.2000	-0.697693
2.3000	-0.645446
2.4000	-0.584745
2.5000	-0.516387
2.6000	-0.441228
2.7000	-0.360174
2.8000	-0.274178
2.9000	-0.184226
3.0000	-0.091333
3.1000	0.003469
3.2000	0.099136
3.3000	0.194629
3.4000	0.288914
3.5000	0.380981
3.6000	0.469844
3.7000	0.554560
3.8000	0.634229
3.9000	0.708008
4.0000	0.775118
